Item_ID,URL,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
26423715_055,https://s7d2.scene7.com/is/image/nu/26423715_055_b?$pdp-regular$,-2.95403614,-4.78145305,0.242636345,1.108840582,-0.295816865,-0.776138549,-0.864060601,-0.717731427,0.183154668,-0.294680128
40631855_001,https://s7d2.scene7.com/is/image/nu/40631855_001_b?$pdp-regular$,5.053492353,1.621106326,0.6585924,1.085189468,0.299493092,0.840811617,-2.756424167,-2.102664533,0.799913947,-0.028772271
40631855_048,https://s7d2.scene7.com/is/image/nu/40631855_048_b?$pdp-regular$,5.343704854,0.330550361,1.308043431,0.55511051,0.402717592,1.070126029,-2.528828723,-1.239891409,-0.437265058,0.897147562
4130024090046_095,https://s7d2.scene7.com/is/image/nu/4130024090046_095_b?$pdp-regular$,-0.498872543,3.075258211,0.896463861,0.113712462,-0.380487402,1.869933111,4.405191954,1.298398391,-0.046110511,-0.361709581
4130024090056_095,https://s7d2.scene7.com/is/image/nu/4130024090056_095_b?$pdp-regular$,-2.809199042,2.250737652,-2.673126296,0.484428806,-0.394439635,-0.770007297,0.778279269,-0.263692145,-2.091775751,-2.340091768
4130024090060_095,https://s7d2.scene7.com/is/image/nu/4130024090060_095_b?$pdp-regular$,-3.801741877,4.024965904,-0.42672974,1.049713601,-0.064377926,-0.387023909,1.158596288,0.740739499,-0.824524724,-1.647742689
4130059680055_049,https://s7d2.scene7.com/is/image/nu/4130059680055_049_b?$pdp-regular$,-4.410551845,1.152244616,1.136006292,0.601152609,-1.189131759,-0.859944392,-1.230200541,0.046136198,-2.366985207,1.539836393
4130059680057_049,https://s7d2.scene7.com/is/image/nu/4130059680057_049_b?$pdp-regular$,-3.364228091,2.502180502,1.955038499,3.212259739,-3.015401247,1.066684521,0.485676679,1.1390203,-3.06235688,0.075796289
4130062500008_081,https://s7d2.scene7.com/is/image/nu/4130062500008_081_b?$pdp-regular$,1.919257532,1.043311175,-4.162415992,1.394485508,0.823285198,2.060679807,-0.431709692,1.240999777,1.015643743,0.28392995
4130062500012_038,https://s7d2.scene7.com/is/image/nu/4130062500012_038_b?$pdp-regular$,-0.231469835,-0.747214304,-1.462428272,-1.116054487,-1.350830328,5.269048657,-0.106413847,0.596968773,-0.903991036,0.768050697
4130062500014_038,https://s7d2.scene7.com/is/image/nu/4130062500014_038_b?$pdp-regular$,-4.748032347,-1.135346503,-1.345928534,-2.567860425,-0.438530038,1.569627799,0.341861576,-0.362265544,-0.313762532,0.920633342
4130074060054_001,https://s7d2.scene7.com/is/image/nu/4130074060054_001_b?$pdp-regular$,-3.062088889,1.700192736,-0.849907787,-0.378215757,0.684778797,0.575805768,2.442932435,-3.916954093,0.274032342,0.947335101
4130074060054_026,https://s7d2.scene7.com/is/image/nu/4130074060054_026_b?$pdp-regular$,-1.894831666,-0.56734806,-1.372451024,-0.009249268,1.021314872,0.550789636,2.119090409,-3.855888968,0.506763027,2.433647657
4130077370102_010,https://s7d2.scene7.com/is/image/nu/4130077370102_010_b?$pdp-regular$,1.966020612,0.631514038,2.708435149,-0.405346156,-3.081578524,1.48901726,0.877668843,2.63411914,1.332628914,-0.671963874
4130077370103_266,https://s7d2.scene7.com/is/image/nu/4130077370103_266_b?$pdp-regular$,0.581971477,0.668705062,0.026664365,1.368579192,-4.818021753,0.452559741,0.334782639,2.435444018,0.498963423,0.78992035
4130077370105_041,https://s7d2.scene7.com/is/image/nu/4130077370105_041_b?$pdp-regular$,1.553050771,2.321992867,-1.286835659,2.128591718,-3.947155986,2.640747507,-0.393580079,0.251887487,2.000052719,-1.218078952
4130077370108_018,https://s7d2.scene7.com/is/image/nu/4130077370108_018_b?$pdp-regular$,1.897132863,0.838267025,0.562066882,0.403156559,-3.901780479,0.769277639,1.401123731,1.334787183,-0.43575039,-0.177586726
4130077370111_049,https://s7d2.scene7.com/is/image/nu/4130077370111_049_b?$pdp-regular$,2.286645295,-1.063744334,0.479756077,0.431611396,-5.112253161,0.732319846,-0.727055784,0.94632655,-1.073187118,-0.186276545
4130077370131_009,https://s7d2.scene7.com/is/image/nu/4130077370131_009_b?$pdp-regular$,1.6844728,-2.455374477,-0.955190529,3.066208924,-1.814660217,-0.695193109,-0.951042421,0.406636555,1.8625403,-0.037142701
4130084320012_020,https://s7d2.scene7.com/is/image/nu/4130084320012_020_b?$pdp-regular$,-2.504841298,1.46905783,-1.622582862,-0.072558488,-1.682266865,-0.403446551,-0.492941916,1.147524439,-1.442361078,1.818759077
4130084320013_069,https://s7d2.scene7.com/is/image/nu/4130084320013_069_b?$pdp-regular$,-4.488473909,0.774322267,-0.25055587,-0.405786814,-1.82038606,-0.341748016,0.797722911,1.387425974,-2.207940871,2.440431614
4130084320014_001,https://s7d2.scene7.com/is/image/nu/4130084320014_001_b?$pdp-regular$,-1.389946669,4.02840344,0.751033091,0.833330998,1.510575931,0.480922213,2.052788209,0.357491399,0.328291713,0.159913314
4130084320015_049,https://s7d2.scene7.com/is/image/nu/4130084320015_049_b?$pdp-regular$,-4.335006736,2.848936638,1.323454331,2.44835654,-0.663136905,0.226558939,0.502561744,0.786935661,-2.387035112,0.929367016
4130084320016_081,https://s7d2.scene7.com/is/image/nu/4130084320016_081_b?$pdp-regular$,-3.498529594,2.68239781,2.235874847,1.239843086,0.124983559,0.833102728,-0.991330659,3.567521329,-1.467661052,1.070580504
4130084320017_009,https://s7d2.scene7.com/is/image/nu/4130084320017_009_b?$pdp-regular$,-5.043990057,1.701791085,-1.013425273,0.805995275,-0.272401565,0.248725316,-2.02513264,1.111215676,-3.42037073,0.907957247
4130084320018_009,https://s7d2.scene7.com/is/image/nu/4130084320018_009_b?$pdp-regular$,-2.234904211,1.846579781,-0.476164905,4.020343257,-2.621679668,2.212099918,-1.995764316,-0.789683775,0.088249871,1.533100789
4130084320019_001,https://s7d2.scene7.com/is/image/nu/4130084320019_001_b?$pdp-regular$,-2.338646057,2.051745927,-0.75760408,0.909445389,0.003052548,-0.047038554,-3.474877826,-0.95524583,1.7422909,-0.402924605
4130084320020_015,https://s7d2.scene7.com/is/image/nu/4130084320020_015_b?$pdp-regular$,-3.380502827,0.187830976,3.770965069,1.356341181,-0.526921739,0.720046016,-1.63446158,1.71581279,0.223754457,2.071382364
4130084320021_001,https://s7d2.scene7.com/is/image/nu/4130084320021_001_b?$pdp-regular$,-3.053546929,-3.694182277,1.206576594,2.445485484,1.110814749,0.065855888,0.8680461,-2.94796094,0.63360472,-1.998301059
4130084320021_066,https://s7d2.scene7.com/is/image/nu/4130084320021_066_b?$pdp-regular$,-3.476947605,-2.094951295,0.490383418,-1.842969999,-1.139379089,3.185467809,1.303783541,-1.462316227,1.173120031,1.708726579
4130084320025_038,https://s7d2.scene7.com/is/image/nu/4130084320025_038_b?$pdp-regular$,-3.272439723,-0.872905056,2.485373818,1.420178974,1.76084754,2.115799326,-1.195863501,1.473475257,-1.430437663,2.357696703
4130084320026_038,https://s7d2.scene7.com/is/image/nu/4130084320026_038_b?$pdp-regular$,-3.680433081,0.599725301,0.343977128,3.264928149,0.717162399,0.178908265,-0.44325873,0.67201752,-1.045361132,2.253155428
4130089450001_041,https://s7d2.scene7.com/is/image/nu/4130089450001_041_b?$pdp-regular$,-4.616940757,0.372594897,-0.084353945,0.63667413,0.913204523,-0.544421573,-1.628272148,1.070936599,0.067186103,1.685035303
4130089540013_018,https://s7d2.scene7.com/is/image/nu/4130089540013_018_b2?$pdp-regular$,-4.244940092,2.140552303,1.894003194,-0.220421646,0.944899781,0.560111749,-3.439887587,0.93382935,-1.898050695,-0.226225369
4130089540014_038,https://s7d2.scene7.com/is/image/nu/4130089540014_038_b?$pdp-regular$,-2.587825994,2.487970321,0.498368503,-1.041958119,0.788913184,-0.536608888,-2.021356948,3.521951814,0.4723642,-0.865301111
4130089540016_009,https://s7d2.scene7.com/is/image/nu/4130089540016_009_b?$pdp-regular$,-1.760495512,-2.667720643,2.880263318,3.883541229,0.765192599,0.513556453,-0.261819126,-0.22155694,-0.352835783,-2.339026812
4130089540016_095,https://s7d2.scene7.com/is/image/nu/4130089540016_095_b?$pdp-regular$,-2.065712826,-3.077929461,2.189650543,3.465407433,0.983301727,1.287676038,0.056127564,0.959858674,-0.574388193,-2.894675966
4130089540019_015,https://s7d2.scene7.com/is/image/nu/4130089540019_015_b?$pdp-regular$,-2.455331441,-4.467466335,0.8999325,3.330395181,-1.160910654,1.925134021,-0.550284559,-0.203027011,-1.254946997,-2.161855125
4130089544281_015,https://s7d2.scene7.com/is/image/nu/4130089544281_015_b?$pdp-regular$,-0.11786424,1.488275696,3.584554215,1.332461671,-2.818460682,3.52719978,1.997638485,0.919298398,-0.499060704,-0.435375165
4130089860003_009,https://s7d2.scene7.com/is/image/nu/4130089860003_009_b?$pdp-regular$,-0.595152895,2.551981934,-1.721835256,1.613154384,0.994275873,-1.194485471,0.201096027,-3.624191498,0.792676278,-1.336960463
